raw_data_team_name,log_table_team_name
Jazz,Utah Jazz
Wizards,Washington Wizards
Spurs,San Antonio Spurs
Hornets,Charlotte Hornets
Bucks,Milwaukee Bucks
Grizzlies,Memphis Grizzlies
Hawks,Atlanta Hawks
Pacers,Indiana Pacers
Pistons,Detroit Pistons
Timberwolves,Minnesota Timberwolves
Seventysixers,Philadelphia 76ers
Nuggets,Denver Nuggets
Thunder,Oklahoma City Thunder
Celtics,Boston Celtics
Raptors,Toronto Raptors
Cavaliers,Cleveland Cavaliers
Warriors,Golden State Warriors
Knicks,New York Knicks
Mavericks,Dallas Mavericks
Lakers,Los Angeles Lakers
Nets,Brooklyn Nets
Magic,Orlando Magic
Heat,Miami Heat
Trailblazers,Portland Trail Blazers
Suns,Phoenix Suns
Clippers,LA Clippers
Rockets,Houston Rockets
Bulls,Chicago Bulls
Kings,Sacramento Kings
Pelicans,New Orleans Pelicans
Supersonics,Seattle SuperSonics
